35AB 0000 1DAD 2CF6 36EE 0000 0000 1FA8 13C2 1EE3 0000 1E04 0000 1847 0000 5BEC 0000 1B11 0000 17D8 13EE 25BB 0000 0000
35CB FFF6 1C62 2D07 3729 E092 FFFA 1FCD 14AB 1F10 FFB0 1DD0 FFD1 178A DBAD 5C06 FFFE 1AA0 FFFB 18C4 14F2 25C0 EC9C FFFA
35B4 FFF6 1C72 2D07 36BB E048 FFFA 1FAC 14C9 1EEE FFB0 1D58 FFD1 17E0 DBC6 5C10 FFFE 1A0E FFFB 17CF 149B 2560 EC9C FFFA
35AE FFF6 1C73 2D00 36D7 E05D FFFA 1FBE 14D8 1EE9 FFB0 1D54 FFD1 17FA DBB2 5BFF FFFE 19FC FFFB 1756 145D 2576 EC96 FFFA
35B0 FFF6 1C73 2CFF 36F0 E071 FFFA 1FC8 14D8 1EE4 FFB0 1D64 FFD1 17FA DB98 5BE4 FFFE 19D2 FFFB 1756 1464 2597 EC91 FFFA
35B0 FFF6 1C5A 2CFE 36FB E077 FFFA 1FCC 14C4 1EE4 FFB0 1D6A FFD1 17DD DB71 5BC8 FFFE 19D0 FFFB 1756 146B 25A6 EC8E FFFA
35B6 FFF6 1C50 2CFE 36FD E07A FFFA 1FCC 14BA 1EED FFB0 1D6A FFD1 17D2 DB60 5BBF FFFE 19DF FFFB 178B 148F 25A6 EC8F FFFA
35BB FFF6 1C4C 2CFA 36FA E076 FFFA 1FCA 1502 1EF1 FFB0 1D6A FFD1 17F4 DB98 5BE3 FFFE 19DF FFFB 17BC 14C0 2594 EC86 FFFA
35B2 FFF6 1C5E 2D04 36E0 E065 FFFA 1FC7 1502 1EEC FFB0 1D46 FFD1 1803 DB98 5BE3 FFFE 19BE FFFB 176D 149E 2553 EC95 FFFA
35B0 FFF6 1C5E 2D04 36EC E06E FFFA 1FCB 14FD 1EE5 FFB0 1D49 FFD1 1803 DB93 5BDB FFFE 19C7 FFFB 1758 147A 2565 EC95 FFFA
35BC FFF6 1C74 2D01 36FC E07C FFFA 1FCC 14E3 1EE7 FFB0 1D4B FFD1 17EA DB75 5BC6 FFFE 1A13 FFFB 1758 147A 25B1 EC93 FFFA
35C8 FFF6 1C83 2D04 3705 E07C FFFA 1FCE 14B6 1EF5 FFB0 1D7E FFD1 17EA DB65 5BB7 FFFE 1A49 FFFB 17A3 147B 25BA EC9C FFFA
35B8 FFF6 1C4E 2CFD 3701 E07C FFFA 1FCF 14AB 1EE8 FFB0 1D73 FFD1 17BF DB5B 5BB2 FFFE 1A01 FFFB 17A3 147B 2596 EC8E FFFA
35AF FFF6 1C4C 2CFE 3702 E07D FFFA 1FCE 14A6 1EE7 FFB0 1D60 FFD1 17BC DB5B 5BB2 FFFE 19F5 FFFB 177F 1461 2596 EC8F FFFA
35B5 FFF6 1C46 2D07 3702 E07D FFFA 1FCE 1499 1EEC FFB0 1D70 FFD1 17BC DB5E 5BBB FFFE 1A0F FFFB 17B0 147B 2591 EC92 FFFA
35B7 FFF6 1C52 2CF9 36FE E07B FFFA 1FCA 14FA 1EEC FFB0 1D63 FFD1 1802 DB95 5BCF FFFE 1A0A FFFB 17B0 14B7 257B EC8D FFFA
35B5 FFF6 1C58 2CFE 36EA E06F FFFA 1FD0 14FA 1EE8 FFB0 1D1E FFD1 1802 DB95 5BCD FFFE 19F8 FFFB 175D 146D 251E EC93 FFFA
35B5 FFF6 1C53 2CFD 36F7 E078 FFFA 1FD3 14D6 1EE8 FFB0 1D2A FFD1 17EB DB7B 5BBB FFFE 1A07 FFFB 1775 146D 2542 EC91 FFFA
35CC FFF6 1CD4 2CFC 3734 E0A3 FFFA 1FD7 14A6 1EF5 FFB0 1D96 FFD1 17DA DB67 5BAE FFFE 1AB1 FFFB 17A6 1458 25C6 EC91 FFFA
35C6 FFF6 1CD4 2CF5 373D E0A3 FFFA 1FD8 141F 1EF3 FFB0 1D96 FFD1 17DA DB5A 5B97 FFFE 1AB1 FFFB 17DC 13E9 25C6 EC8B FFFA
35AC FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A5 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
