35AD 0000 1DA7 2CF7 36ED 0000 0000 1FA9 13CC 1EE5 0000 1E0F 0000 184F 0000 5BEF 0000 1B05 0000 17D1 13FE 25CC 0000 0000
35AD FFF6 1C89 2CF8 3708 E07C FFFA 1FBD 13D8 1EE4 FFB0 1D84 FFD1 1769 DB6B 5BC9 FFFE 1A9F FFFB 17BF 13F7 25C5 EC8F FFFA
35AB FFF6 1C89 2CF7 3725 E091 FFFA 1FCC 13CC 1EE2 FFB0 1D8B FFD1 1769 DB54 5BAD FFFE 1AA4 FFFB 17B7 13D8 25CA EC8F FFFA
35D3 FFF6 1C75 2CF6 3725 E093 FFFA 1FCC 144C 1F05 FFB0 1DF5 FFD1 1770 DBBE 5C11 FFFE 1AA1 FFFB 192A 1531 25C7 EC8D FFFA
35C1 FFF6 1C4E 2CF3 36C0 E03B FFFA 1F91 1476 1EF1 FFB0 1D3A FFD1 1781 DBD9 5C27 FFFE 1A3E FFFB 184F 14DA 2575 EC83 FFFA
35B5 FFF6 1C3E 2CF5 369E E031 FFFA 1F8D 147D 1EEF FFB0 1D2E FFD1 1784 DBFB 5C41 FFFE 1A49 FFFB 17C5 1476 254A EC87 FFFA
35B0 FFF6 1C66 2CF9 3678 E015 FFFA 1F7A 1477 1EEA FFB0 1D01 FFD1 1780 DC0A 5C48 FFFE 1A76 FFFB 17B7 145F 252D EC8E FFFA
35B1 FFF6 1CA1 2CFB 368D E023 FFFA 1F89 1472 1EEA FFB0 1D36 FFD1 17BE DC0A 5C48 FFFE 1A76 FFFB 17B1 1428 2538 EC8E FFFA
35B5 FFF6 1C97 2CF9 36BC E04A FFFA 1FAC 14A7 1EEB FFB0 1D2E FFD1 17FE DBEA 5C28 FFFE 1A45 FFFB 177A 1428 2555 EC8A FFFA
35BA FFF6 1C97 2CF8 36EE E070 FFFA 1FC8 14A9 1EEE FFB0 1D60 FFD1 17FE DBBD 5BFC FFFE 1A16 FFFB 174B 1440 256C EC89 FFFA
35B4 FFF6 1C75 2CFC 3708 E082 FFFA 1FD4 14A9 1EE8 FFB0 1D59 FFD1 17E8 DB7B 5BC1 FFFE 1A02 FFFB 1776 1458 2575 EC8D FFFA
35B2 FFF6 1C50 2CFA 370E E086 FFFA 1FD4 148E 1EE7 FFB0 1D6B FFD1 17BE DB52 5BA4 FFFE 1A0A FFFB 178D 145A 257F EC8B FFFA
35BE FFF6 1C3D 2CFA 3709 E082 FFFA 1FD4 14FA 1EF6 FFB0 1D83 FFD1 17F0 DBA5 5BE8 FFFE 1A0A FFFB 182C 14F1 256E EC8B FFFA
35B8 FFF6 1C86 2CFB 36E7 E06A FFFA 1FC8 14FB 1EEC FFB0 1D3B FFD1 1816 DBA5 5BE8 FFFE 19D8 FFFB 17A5 14E9 2564 EC88 FFFA
35C5 FFF6 1CC5 2D05 371D E096 FFFA 1FC9 14D8 1F08 FFB0 1DDE FFD1 17F1 DB7A 5BC8 FFFE 1A78 FFFB 1804 145D 25DF EC9E FFFA
35C8 FFF6 1CC5 2D05 371D E096 FFFA 1FCD 148D 1F08 FFB0 1DDE FFD1 17A9 DB53 5BB0 FFFE 1A78 FFFB 1804 147D 25DF ECA5 FFFA
35B7 FFF6 1C57 2CFE 3704 E07E FFFA 1FCF 14AB 1EED FFB0 1D79 FFD1 17C3 DB59 5BB2 FFFE 1A0B FFFB 1794 147D 2599 EC90 FFFA
35B0 FFF6 1C47 2D02 3700 E07C FFFA 1FCF 14B5 1EE8 FFB0 1D6E FFD1 17C3 DB66 5BC4 FFFE 19EB FFFB 179D 14A3 258E EC96 FFFA
35E1 FFF6 1C3A 2D02 36FF E07A FFFA 1FCB 14E9 1F0E FFB0 1D6E FFD1 17C6 DBBD 5C10 FFFE 19F0 FFFB 1812 14F7 258E EC96 FFFA
35F2 FFF6 1C91 2CFF 36DE E063 FFFA 1FB9 14FD 1F13 FFB0 1D4D FFD1 1828 DBE0 5C15 FFFE 1A1B FFFB 17D8 14E0 2573 EC94 FFFA
35D0 FFF6 1C91 2D19 36E9 E06C FFFA 1FCA 14FD 1F02 FFB0 1D45 FFD1 1828 DBC1 5BF7 FFFE 1A0D FFFB 17D8 14A1 2545 ECB9 FFFA
35B8 FFF6 1C82 2D16 36F3 E075 FFFA 1FCD 14D7 1EED FFB0 1D47 FFD1 180C DB99 5BD0 FFFE 1A0D FFFB 1789 1477 254A ECB9 FFFA
