35B0 0000 1E1A 2CF1 3716 0000 0000 1FC3 13C4 1EE9 0000 1E51 0000 18AC 0000 5BCD 0000 1B1D 0000 17F1 1400 25C0 0000 0000
35B3 FFF6 1C7C 2D01 36E2 E064 FFFA 1FB0 1456 1EF2 FFB0 1D6B FFD1 17AC DBE0 5C32 FFFE 1A41 FFFB 1855 14E6 25A0 EC98 FFFA
35B2 FFF6 1C99 2CFD 368C E021 FFFA 1F81 1456 1EED FFB0 1D42 FFD1 17A0 DBFB 5C44 FFFE 1A89 FFFB 1805 1496 2565 EC94 FFFA
35A7 FFF6 1C99 2D09 36B6 E043 FFFA 1FA0 146C 1EE4 FFB0 1D4B FFD1 17CC DBF4 5C39 FFFE 1A89 FFFB 1788 1419 256F ECA2 FFFA
35B4 FFF6 1C95 2D09 36D6 E05C FFFA 1FB1 1470 1EEB FFB0 1D65 FFD1 17CC DBD7 5C16 FFFE 1A47 FFFB 176D 1429 2584 ECA2 FFFA
35B4 FFF6 1C86 2D03 36E9 E069 FFFA 1FC2 1479 1EEB FFB0 1D65 FFD1 17C6 DB91 5BE1 FFFE 1A3E FFFB 177C 1434 2584 EC9A FFFA
35AD FFF6 1C78 2CFE 370A E081 FFFA 1FD0 1479 1EE4 FFB0 1D68 FFD1 17C6 DB7E 5BC8 FFFE 1A26 FFFB 1781 1439 2580 EC92 FFFA
35B6 FFF6 1C5B 2CFE 370D E085 FFFA 1FD2 1475 1EEE FFB0 1D69 FFD1 17A8 DB56 5BAD FFFE 1A24 FFFB 17BE 1482 2589 EC91 FFFA
35D4 FFF6 1C49 2CFB 3706 E07F FFFA 1FCE 14A0 1F0E FFB0 1D62 FFD1 17A8 DB85 5BDC FFFE 1A15 FFFB 17BE 148E 2573 EC8A FFFA
35FC FFF6 1CC0 2D21 36E5 E069 FFFA 1FBD 14B8 1F16 FFB0 1D46 FFD1 1826 DBBA 5BFC FFFE 1A30 FFFB 17BE 14B1 256B ECC6 FFFA
35D1 FFF6 1CC0 2D2F 36F5 E079 FFFA 1FC0 14B2 1F16 FFB0 1D81 FFD1 1826 DBBA 5BEF FFFE 1A3D FFFB 17BE 1462 2592 ECD3 FFFA
35D3 FFF6 1C63 2CFE 36F2 E076 FFFA 1FC1 148E 1EF8 FFB0 1D71 FFD1 17C5 DB78 5BCA FFFE 1A28 FFFB 17A1 1462 2592 EC93 FFFA
35BE FFF6 1C58 2CFD 36F5 E074 FFFA 1FC8 1495 1EF6 FFB0 1D71 FFD1 17B4 DB6D 5BC3 FFFE 1A09 FFFB 17A1 145E 2592 EC90 FFFA
35CB FFF6 1C7E 2D0B 36FB E07C FFFA 1FC9 14A5 1EED FFB0 1D5C FFD1 17B4 DB6A 5BBF FFFE 1A38 FFFB 1782 1467 25A3 ECA6 FFFA
35CB FFF6 1C9C 2D33 372B E09C FFFA 1FCE 14A5 1EF1 FFB0 1DDE FFD1 17BF DB6C 5BBE FFFE 1A7D FFFB 182B 1467 25BD ECD8 FFFA
35B2 FFF6 1C4F 2D33 372B E09C FFFA 1FCE 148A 1EF1 FFB0 1DDE FFD1 17B3 DB67 5BBB FFFE 1A72 FFFB 182B 1475 25A2 ECD8 FFFA
