35AB 0000 1D8F 2CF6 36E5 0000 0000 1FA2 13C6 1EE6 0000 1E05 0000 1831 0000 5BF5 0000 1B06 0000 17D3 13F0 25BE 0000 0000
35B2 FFF6 1C9D 2D04 36F9 E077 FFFA 1FCB 1502 1EE9 FFB0 1D67 FFD1 1842 DBA0 5BE2 FFFE 19DC FFFB 1757 146C 259D EC96 FFFA
35B2 FFF6 1C50 2CFB 36FF E07A FFFA 1FCE 14C8 1EE9 FFB0 1D72 FFD1 17D7 DB63 5BBD FFFE 19DC FFFB 1764 1472 25A7 EC89 FFFA
35B2 FFF6 1C44 2CF9 36FE E07A FFFA 1FCE 14C5 1EEB FFB0 1D6C FFD1 17CB DB5C 5BB9 FFFE 19D1 FFFB 1769 1473 259A EC87 FFFA
35B2 FFF6 1C4E 2CFA 3705 E07E FFFA 1FCF 14C5 1EEB FFB0 1D60 FFD1 17D5 DB5C 5BB9 FFFE 19EE FFFB 1769 1473 25A7 EC88 FFFA
35B3 FFF6 1C4F 2CF9 370C E083 FFFA 1FCF 1493 1EEA FFB0 1D74 FFD1 17BA DB53 5BAF FFFE 1A10 FFFB 179A 145D 25B7 EC88 FFFA
35B3 FFF6 1CD3 2D1F 373A E0A2 FFFA 1FD8 146F 1EEA FFB0 1D93 FFD1 17B2 DB53 5BAF FFFE 1AAC FFFB 17C8 145D 25D6 ECBA FFFA
35AB FFF6 1CD3 2D11 373D E0A2 FFFA 1FD8 13F3 1EE0 FFB0 1D93 FFD1 17B2 DB49 5B94 FFFE 1AAC FFFB 17DC 13E9 25D6 ECAA FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
